date,open,close,high,low,vol,open_raw,close_raw,high_raw,low_raw
2023-11-08,27.51,27.65,27.88,27.23,15207.0,27.51,27.65,27.88,27.23
2023-11-09,27.47,27.33,28.15,27.3,17525.0,27.47,27.33,28.15,27.3
2023-11-10,27.04,27.12,27.61,27.04,13214.0,27.04,27.12,27.61,27.04
2023-11-13,27.11,27.3,27.53,27.0,13566.0,27.11,27.3,27.53,27.0
2023-11-14,27.31,27.45,27.73,27.31,14367.0,27.31,27.45,27.73,27.31
2023-11-15,28.28,27.38,28.4,27.24,22497.0,28.28,27.38,28.4,27.24
2023-11-16,27.18,26.92,27.38,26.92,16373.0,27.18,26.92,27.38,26.92
2023-11-17,27.18,27.62,27.64,26.97,23425.0,27.18,27.62,27.64,26.97
2023-11-20,27.62,27.82,28.12,27.62,19668.0,27.62,27.82,28.12,27.62
2023-11-21,27.9,28.23,28.78,27.72,36613.0,27.9,28.23,28.78,27.72
2023-11-22,28.08,27.8,28.22,27.72,21166.0,28.08,27.8,28.22,27.72
2023-11-23,27.92,28.53,28.67,27.92,34223.0,27.92,28.53,28.67,27.92
2023-11-24,28.68,28.54,28.85,28.2,28478.0,28.68,28.54,28.85,28.2
2023-11-27,29.5,27.93,29.69,27.79,41134.0,29.5,27.93,29.69,27.79
2023-11-28,27.9,28.42,28.59,27.71,30394.0,27.9,28.42,28.59,27.71
2023-11-29,28.48,27.41,28.59,27.37,24733.0,28.48,27.41,28.59,27.37
2023-11-30,27.36,27.6,27.68,27.16,18240.0,27.36,27.6,27.68,27.16
2023-12-01,27.6,27.81,28.28,27.43,19768.0,27.6,27.81,28.28,27.43
2023-12-04,27.82,27.38,28.0,27.29,16803.0,27.82,27.38,28.0,27.29
2023-12-05,27.39,27.03,27.64,27.03,14094.0,27.39,27.03,27.64,27.03
2023-12-06,27.03,27.08,27.33,26.78,12137.0,27.03,27.08,27.33,26.78
2023-12-07,27.33,26.52,27.33,26.49,20725.0,27.33,26.52,27.33,26.49
2023-12-08,26.47,26.35,26.72,26.31,14913.0,26.47,26.35,26.72,26.31
2023-12-11,26.17,26.12,26.58,25.9,18698.0,26.17,26.12,26.58,25.9
2023-12-12,26.26,26.39,26.74,26.1,14051.0,26.26,26.39,26.74,26.1
2023-12-13,26.44,28.24,29.85,26.25,126580.0,26.44,28.24,29.85,26.25
2023-12-14,27.95,27.12,28.53,27.0,77019.0,27.95,27.12,28.53,27.0
