date,open,close,high,low,vol,open_raw,close_raw,high_raw,low_raw
2023-11-06,3.206,3.468,3.483,3.167,246524.0,4.05,4.38,4.4,4.0
2023-11-07,3.428,3.642,3.642,3.428,171064.0,4.33,4.6,4.6,4.33
2023-11-08,3.578,3.642,3.697,3.531,167272.0,4.52,4.6,4.67,4.46
2023-11-09,3.642,3.824,3.824,3.602,149375.0,4.6,4.83,4.83,4.55
2023-11-10,3.824,4.014,4.014,3.729,217832.0,4.83,5.07,5.07,4.71
2023-11-13,3.887,3.816,4.188,3.816,236607.0,4.91,4.82,5.29,4.82
2023-11-14,3.784,3.729,3.927,3.642,228145.0,4.78,4.71,4.96,4.6
2023-11-15,3.673,3.539,3.753,3.539,250117.0,4.64,4.47,4.74,4.47
2023-11-16,3.412,3.468,3.681,3.365,238493.0,4.31,4.38,4.65,4.25
2023-11-17,3.436,3.293,3.563,3.293,285034.0,4.34,4.16,4.5,4.16
2023-11-20,3.127,3.127,3.159,3.127,86506.0,3.95,3.95,3.99,3.95
2023-11-21,2.969,2.969,2.969,2.969,25491.0,3.75,3.75,3.75,3.75
2023-11-22,2.818,3.119,3.119,2.818,208549.0,3.56,3.94,3.94,3.56
2023-11-23,3.278,3.278,3.278,3.183,210466.0,4.14,4.14,4.14,4.02
2023-11-24,3.365,3.38,3.436,3.175,343794.0,4.25,4.27,4.34,4.01
2023-11-27,3.547,3.547,3.547,3.547,25765.0,4.48,4.48,4.48,4.48
2023-11-28,3.721,3.57,3.721,3.507,339043.0,4.7,4.51,4.7,4.43
2023-11-29,3.539,3.753,3.753,3.539,177945.0,4.47,4.74,4.74,4.47
2023-11-30,3.721,3.887,3.927,3.642,212291.0,4.7,4.91,4.96,4.6
2023-12-01,3.863,3.705,4.022,3.689,191441.0,4.88,4.68,5.08,4.66
2023-12-04,3.8,3.768,3.824,3.523,241775.0,4.8,4.76,4.83,4.45
2023-12-05,3.745,3.713,3.816,3.634,139410.0,4.73,4.69,4.82,4.59
2023-12-06,3.531,3.531,3.689,3.531,197874.0,4.46,4.46,4.66,4.46
2023-12-07,3.531,3.357,3.626,3.357,179293.0,4.46,4.24,4.58,4.24
2023-12-08,3.254,3.42,3.499,3.214,186203.0,4.11,4.32,4.42,4.06
2023-12-11,3.365,3.341,3.452,3.27,130926.0,4.25,4.22,4.36,4.13
2023-12-12,3.38,3.507,3.507,3.333,110067.0,4.27,4.43,4.43,4.21
2023-12-13,3.333,3.333,3.333,3.333,34532.0,4.21,4.21,4.21,4.21
2023-12-14,3.167,3.167,3.167,3.167,22421.0,4.0,4.0,4.0,4.0
2023-12-15,3.008,3.008,3.008,3.008,30255.0,3.8,3.8,3.8,3.8
2023-12-18,3.008,2.858,3.119,2.858,402947.0,3.8,3.61,3.94,3.61
2023-12-19,2.977,3.0,3.0,2.85,383025.0,3.76,3.79,3.79,3.6
2023-12-20,2.929,2.85,2.985,2.85,275601.0,3.7,3.6,3.77,3.6
2023-12-21,2.771,2.795,2.89,2.708,303157.0,3.5,3.53,3.65,3.42
2023-12-22,2.795,2.692,2.81,2.676,182857.0,3.53,3.4,3.55,3.38
2023-12-25,2.715,2.826,2.826,2.692,180471.0,3.43,3.57,3.57,3.4
2023-12-26,2.866,2.898,2.961,2.834,313586.0,3.62,3.66,3.74,3.58
