date,open,close,high,low,vol,open_raw,close_raw,high_raw,low_raw
2023-11-08,6.653,6.563,6.653,6.553,21165.0,6.85,6.76,6.85,6.75
2023-11-09,6.583,6.563,6.613,6.543,18185.0,6.78,6.76,6.81,6.74
2023-11-10,6.563,6.643,6.653,6.503,25610.0,6.76,6.84,6.85,6.7
2023-11-13,6.693,6.803,6.903,6.693,69557.0,6.89,7.0,7.1,6.89
2023-11-14,6.783,6.733,6.933,6.683,62202.0,6.98,6.93,7.13,6.88
2023-11-15,6.743,6.733,6.773,6.663,42739.0,6.94,6.93,6.97,6.86
2023-11-16,6.753,6.693,6.763,6.683,22229.0,6.95,6.89,6.96,6.88
2023-11-17,6.713,6.743,6.783,6.713,23958.0,6.91,6.94,6.98,6.91
2023-11-20,6.793,6.793,6.843,6.733,32368.0,6.99,6.99,7.04,6.93
2023-11-21,6.803,6.793,6.873,6.793,37423.0,7.0,6.99,7.07,6.99
2023-11-22,6.813,6.823,6.893,6.803,48495.0,7.01,7.02,7.09,7.0
2023-11-23,6.833,6.903,6.923,6.803,27428.0,7.03,7.1,7.12,7.0
2023-11-24,6.913,6.913,6.953,6.873,28290.0,7.11,7.11,7.15,7.07
2023-11-27,6.903,7.043,7.043,6.863,45002.0,7.1,7.24,7.24,7.06
2023-11-28,6.803,6.893,6.953,6.683,86784.0,7.0,7.09,7.15,6.88
2023-11-29,6.913,6.943,7.013,6.883,48143.0,7.11,7.14,7.21,7.08
2023-11-30,6.923,6.953,7.013,6.883,40333.0,7.12,7.15,7.21,7.08
2023-12-01,6.983,7.093,7.203,6.953,72877.0,7.18,7.29,7.4,7.15
2023-12-04,7.153,7.153,7.183,7.013,79740.0,7.35,7.35,7.38,7.21
2023-12-05,7.253,7.133,7.253,7.103,83725.0,7.45,7.33,7.45,7.3
2023-12-06,7.093,7.373,7.373,7.073,145800.0,7.29,7.57,7.57,7.27
2023-12-07,7.223,7.043,7.303,7.023,170788.0,7.42,7.24,7.5,7.22
2023-12-08,7.053,6.983,7.153,6.953,123500.0,7.25,7.18,7.35,7.15
2023-12-11,6.963,7.053,7.073,6.823,71622.0,7.16,7.25,7.27,7.02
2023-12-12,7.073,7.783,7.783,6.963,190372.0,7.27,7.98,7.98,7.16
2023-12-13,7.963,7.543,8.153,7.523,591044.0,8.16,7.74,8.35,7.72
2023-12-14,7.703,7.603,7.873,7.453,338482.0,7.9,7.8,8.07,7.65
2023-12-15,7.423,7.413,7.553,7.333,242593.0,7.62,7.61,7.75,7.53
2023-12-18,7.413,7.633,8.063,7.413,360001.0,7.61,7.83,8.26,7.61
2023-12-19,7.483,7.283,7.553,7.183,290287.0,7.68,7.48,7.75,7.38
2023-12-20,7.303,7.063,7.363,7.053,204573.0,7.5,7.26,7.56,7.25
2023-12-21,7.033,7.133,7.143,6.853,146735.0,7.23,7.33,7.34,7.05
2023-12-22,7.283,7.033,7.293,6.953,125062.0,7.48,7.23,7.49,7.15
2023-12-25,6.983,6.933,7.013,6.813,109852.0,7.18,7.13,7.21,7.01
2023-12-26,6.923,6.873,7.043,6.863,58600.0,7.12,7.07,7.24,7.06
2023-12-27,6.883,6.943,6.953,6.843,51558.0,7.08,7.14,7.15,7.04
2023-12-28,6.903,6.983,7.003,6.843,68484.0,7.1,7.18,7.2,7.04
2023-12-29,6.983,6.933,6.983,6.923,63511.0,7.18,7.13,7.18,7.12
2024-01-02,6.983,7.183,7.253,6.953,108072.0,7.18,7.38,7.45,7.15
2024-01-03,7.153,7.193,7.293,7.083,86465.0,7.35,7.39,7.49,7.28
2024-01-04,7.273,7.233,7.273,7.173,68858.0,7.47,7.43,7.47,7.37
2024-01-05,7.203,7.113,7.233,7.073,56053.0,7.4,7.31,7.43,7.27
2024-01-08,7.083,6.983,7.103,6.953,38263.0,7.28,7.18,7.3,7.15
2024-01-09,6.983,7.073,7.103,6.963,39240.0,7.18,7.27,7.3,7.16
2024-01-10,7.073,7.003,7.073,6.953,35176.0,7.27,7.2,7.27,7.15
2024-01-11,6.973,7.083,7.093,6.903,79745.0,7.17,7.28,7.29,7.1
2024-01-12,7.053,7.133,7.263,7.043,94763.0,7.25,7.33,7.46,7.24
2024-01-15,7.083,7.143,7.243,7.063,56793.0,7.28,7.34,7.44,7.26
2024-01-16,7.143,7.013,7.173,6.913,59497.0,7.34,7.21,7.37,7.11
2024-01-17,7.033,6.873,7.053,6.863,45118.0,7.23,7.07,7.25,7.06
2024-01-18,6.853,6.713,6.873,6.513,72619.0,7.05,6.91,7.07,6.71
2024-01-19,6.743,6.603,6.743,6.593,33676.0,6.94,6.8,6.94,6.79
2024-01-22,6.613,6.183,6.623,6.163,60122.0,6.81,6.38,6.82,6.36
2024-01-23,6.183,6.083,6.183,5.933,71344.0,6.38,6.28,6.38,6.13
2024-01-24,6.103,6.383,6.383,6.103,67852.0,6.3,6.58,6.58,6.3
2024-01-25,6.503,6.703,6.703,6.383,67667.0,6.7,6.9,6.9,6.58
2024-01-26,6.743,6.893,6.963,6.653,75209.0,6.94,7.09,7.16,6.85
2024-01-29,6.903,6.703,6.943,6.703,52395.0,7.1,6.9,7.14,6.9
2024-01-30,6.633,6.513,6.753,6.513,44102.0,6.83,6.71,6.95,6.71
2024-01-31,6.513,6.153,6.513,6.153,57958.0,6.71,6.35,6.71,6.35
2024-02-01,6.143,5.973,6.153,5.883,78984.0,6.34,6.17,6.35,6.08
2024-02-02,6.003,5.733,6.063,5.523,88844.0,6.2,5.93,6.26,5.72
2024-02-05,5.663,5.143,5.713,5.143,116180.0,5.86,5.34,5.91,5.34
2024-02-06,4.953,5.133,5.293,4.683,143033.0,5.15,5.33,5.49,4.88
2024-02-07,5.173,4.823,5.193,4.763,170382.0,5.37,5.02,5.39,4.96
2024-02-08,4.853,5.303,5.323,4.733,196617.0,5.05,5.5,5.52,4.93
2024-02-19,5.313,5.443,5.523,5.303,136155.0,5.51,5.64,5.72,5.5
2024-02-20,5.423,5.473,5.493,5.313,57870.0,5.62,5.67,5.69,5.51
2024-02-21,5.463,5.543,5.723,5.413,72108.0,5.66,5.74,5.92,5.61
2024-02-22,5.523,5.623,5.643,5.523,51347.0,5.72,5.82,5.84,5.72
2024-02-23,5.623,5.803,5.813,5.623,65925.0,5.82,6.0,6.01,5.82
2024-02-26,5.853,5.833,5.933,5.753,67691.0,6.05,6.03,6.13,5.95
