date,open,close,high,low,vol,open_raw,close_raw,high_raw,low_raw
2023-11-08,8.923,9.173,9.693,8.853,185875.0,9.02,9.27,9.79,8.95
2023-11-09,9.203,9.003,9.233,8.903,95204.0,9.3,9.1,9.33,9.0
2023-11-10,8.973,9.003,9.043,8.783,57853.0,9.07,9.1,9.14,8.88
2023-11-13,9.053,9.163,9.233,9.053,96871.0,9.15,9.26,9.33,9.15
2023-11-14,9.133,9.053,9.143,9.003,53901.0,9.23,9.15,9.24,9.1
2023-11-15,9.073,9.023,9.113,8.963,46983.0,9.17,9.12,9.21,9.06
2023-11-16,9.033,9.043,9.153,8.983,47894.0,9.13,9.14,9.25,9.08
2023-11-17,9.053,9.293,9.303,9.013,70912.0,9.15,9.39,9.4,9.11
2023-11-20,9.453,10.233,10.233,9.373,189638.0,9.55,10.33,10.33,9.47
2023-11-21,10.483,10.313,10.613,10.113,282630.0,10.58,10.41,10.71,10.21
2023-11-22,10.193,10.123,10.313,9.913,151569.0,10.29,10.22,10.41,10.01
2023-11-23,10.133,10.143,10.263,10.023,102825.0,10.23,10.24,10.36,10.12
2023-11-24,10.103,9.973,10.133,9.873,76254.0,10.2,10.07,10.23,9.97
2023-11-27,10.003,9.933,10.083,9.753,68810.0,10.1,10.03,10.18,9.85
2023-11-28,9.933,9.883,9.973,9.813,58994.0,10.03,9.98,10.07,9.91
2023-11-29,9.853,9.773,9.903,9.733,49867.0,9.95,9.87,10.0,9.83
2023-11-30,9.703,9.723,9.823,9.603,70164.0,9.8,9.82,9.92,9.7
2023-12-01,9.723,9.783,9.863,9.613,60628.0,9.82,9.88,9.96,9.71
2023-12-04,10.113,10.053,10.543,9.913,208916.0,10.21,10.15,10.64,10.01
2023-12-05,9.983,9.843,10.143,9.823,153524.0,10.08,9.94,10.24,9.92
2023-12-06,9.763,9.623,9.893,9.483,113274.0,9.86,9.72,9.99,9.58
2023-12-07,9.553,9.463,9.553,9.383,82831.0,9.65,9.56,9.65,9.48
2023-12-08,9.493,9.143,9.553,9.113,87648.0,9.59,9.24,9.65,9.21
2023-12-11,9.113,9.323,9.393,9.093,99186.0,9.21,9.42,9.49,9.19
2023-12-12,9.323,9.483,9.563,9.283,87675.0,9.42,9.58,9.66,9.38
2023-12-13,9.453,9.453,9.523,9.353,75135.0,9.55,9.55,9.62,9.45
2023-12-14,9.453,9.403,9.573,9.363,59654.0,9.55,9.5,9.67,9.46
2023-12-15,9.403,9.383,9.483,9.333,39553.0,9.5,9.48,9.58,9.43
2023-12-18,9.383,9.203,9.393,9.193,49485.0,9.48,9.3,9.49,9.29
2023-12-19,9.253,9.223,9.273,9.143,33853.0,9.35,9.32,9.37,9.24
2023-12-20,9.223,9.043,9.283,9.013,41508.0,9.32,9.14,9.38,9.11
2023-12-21,9.043,9.183,9.223,8.903,62155.0,9.14,9.28,9.32,9.0
2023-12-22,9.183,8.963,9.333,8.883,48417.0,9.28,9.06,9.43,8.98
2023-12-25,9.003,8.823,9.003,8.703,53672.0,9.1,8.92,9.1,8.8
2023-12-26,8.903,8.733,8.903,8.683,37368.0,9.0,8.83,9.0,8.78
2023-12-27,8.703,8.773,8.903,8.673,30282.0,8.8,8.87,9.0,8.77
2023-12-28,8.773,8.833,8.853,8.653,31106.0,8.87,8.93,8.95,8.75
2023-12-29,8.823,9.073,9.093,8.803,37619.0,8.92,9.17,9.19,8.9
2024-01-02,9.083,9.283,9.323,9.083,37453.0,9.18,9.38,9.42,9.18
2024-01-03,9.263,9.273,9.343,9.103,37081.0,9.36,9.37,9.44,9.2
2024-01-04,9.293,9.063,9.303,9.003,65700.0,9.39,9.16,9.4,9.1
2024-01-05,9.093,8.853,9.163,8.783,52759.0,9.19,8.95,9.26,8.88
2024-01-08,8.883,8.663,8.943,8.643,45909.0,8.98,8.76,9.04,8.74
2024-01-09,8.673,8.703,8.893,8.663,38694.0,8.77,8.8,8.99,8.76
2024-01-10,8.713,8.683,8.753,8.583,31467.0,8.81,8.78,8.85,8.68
2024-01-11,8.683,8.603,8.723,8.563,35929.0,8.78,8.7,8.82,8.66
2024-01-12,8.623,8.513,8.643,8.483,37595.0,8.72,8.61,8.74,8.58
2024-01-15,8.473,8.503,8.593,8.423,26575.0,8.57,8.6,8.69,8.52
2024-01-16,8.493,8.423,8.583,8.333,28797.0,8.59,8.52,8.68,8.43
2024-01-17,8.463,8.263,8.463,8.263,31730.0,8.56,8.36,8.56,8.36
2024-01-18,8.223,8.033,8.233,7.793,78453.0,8.32,8.13,8.33,7.89
2024-01-19,8.163,7.993,8.163,7.983,47282.0,8.26,8.09,8.26,8.08
2024-01-22,7.993,7.523,8.063,7.403,59109.0,8.09,7.62,8.16,7.5
2024-01-23,7.553,7.393,7.593,7.273,48242.0,7.65,7.49,7.69,7.37
2024-01-24,7.393,7.453,7.633,7.103,57979.0,7.49,7.55,7.73,7.2
2024-01-25,7.523,7.673,7.703,7.363,43805.0,7.62,7.77,7.8,7.46
2024-01-26,7.673,7.693,7.873,7.603,49525.0,7.77,7.79,7.97,7.7
2024-01-29,7.693,7.393,7.783,7.363,47736.0,7.79,7.49,7.88,7.46
2024-01-30,7.423,7.083,7.423,7.003,45102.0,7.52,7.18,7.52,7.1
2024-01-31,7.003,6.723,7.233,6.663,63865.0,7.1,6.82,7.33,6.76
2024-02-01,6.683,6.533,6.713,6.393,65651.0,6.78,6.63,6.81,6.49
2024-02-02,6.543,6.183,6.733,5.913,88385.0,6.64,6.28,6.83,6.01
2024-02-05,6.103,5.553,6.103,5.553,38703.0,6.2,5.65,6.2,5.65
2024-02-06,5.003,4.993,5.233,4.993,133476.0,5.1,5.09,5.33,5.09
2024-02-07,5.003,4.483,5.023,4.483,208655.0,5.1,4.58,5.12,4.58
2024-02-08,4.483,4.923,4.943,4.083,218127.0,4.58,5.02,5.04,4.18
2024-02-19,5.183,5.173,5.383,5.093,160357.0,5.28,5.27,5.48,5.19
2024-02-20,5.193,5.703,5.703,5.063,78813.0,5.29,5.8,5.8,5.16
2024-02-21,5.903,5.823,6.203,5.653,182257.0,6.0,5.92,6.3,5.75
2024-02-22,5.763,6.033,6.163,5.743,94425.0,5.86,6.13,6.26,5.84
2024-02-23,6.023,6.153,6.253,6.003,106887.0,6.12,6.25,6.35,6.1
2024-02-26,6.153,6.463,6.683,6.113,135221.0,6.25,6.56,6.78,6.21
2024-02-27,6.503,6.763,6.763,6.403,71654.0,6.6,6.86,6.86,6.5
2024-02-28,6.763,6.103,7.063,6.073,167150.0,6.86,6.2,7.16,6.17
2024-02-29,6.073,6.303,6.333,5.913,126904.0,6.17,6.4,6.43,6.01
2024-03-01,6.333,6.263,6.373,6.153,67323.0,6.43,6.36,6.47,6.25
2024-03-04,6.263,6.323,6.353,6.133,63053.0,6.36,6.42,6.45,6.23
2024-03-05,6.293,6.203,6.353,6.183,56035.0,6.39,6.3,6.45,6.28
2024-03-06,6.183,6.403,6.753,6.173,88563.0,6.28,6.5,6.85,6.27
2024-03-07,6.463,6.373,6.523,6.313,65428.0,6.56,6.47,6.62,6.41
2024-03-08,6.353,6.413,6.463,6.313,42643.0,6.45,6.51,6.56,6.41
2024-03-11,6.563,6.543,6.643,6.443,44950.0,6.66,6.64,6.74,6.54
2024-03-12,6.543,6.753,6.803,6.543,59899.0,6.64,6.85,6.9,6.64
2024-03-13,6.813,6.793,6.833,6.643,48742.0,6.91,6.89,6.93,6.74
2024-03-14,6.803,6.923,7.063,6.733,84650.0,6.9,7.02,7.16,6.83
2024-03-15,6.843,6.903,6.973,6.773,52962.0,6.94,7.0,7.07,6.87
2024-03-18,6.893,7.113,7.163,6.893,59792.0,6.99,7.21,7.26,6.99
2024-03-19,7.133,7.123,7.243,7.073,47608.0,7.23,7.22,7.34,7.17
2024-03-20,7.113,7.253,7.253,7.083,38531.0,7.21,7.35,7.35,7.18
2024-03-21,7.323,7.513,7.543,7.273,59909.0,7.42,7.61,7.64,7.37
2024-03-22,7.553,7.763,7.893,7.303,134614.0,7.65,7.86,7.99,7.4
2024-03-25,7.783,7.273,7.833,7.253,102283.0,7.88,7.37,7.93,7.35
2024-03-26,7.273,7.383,7.483,7.233,62825.0,7.37,7.48,7.58,7.33
2024-03-27,7.393,7.143,7.493,7.123,60178.0,7.49,7.24,7.59,7.22
2024-03-28,7.103,7.233,7.363,7.083,58583.0,7.2,7.33,7.46,7.18
2024-03-29,7.233,7.353,7.353,7.153,57628.0,7.33,7.45,7.45,7.25
2024-04-01,7.353,7.533,7.653,7.353,61106.0,7.45,7.63,7.75,7.45
2024-04-02,7.503,7.753,7.883,7.483,80497.0,7.6,7.85,7.98,7.58
2024-04-03,7.753,7.513,7.783,7.473,60333.0,7.85,7.61,7.88,7.57
2024-04-08,7.513,7.393,7.593,7.343,54483.0,7.61,7.49,7.69,7.44
2024-04-09,7.353,7.413,7.433,7.253,36819.0,7.45,7.51,7.53,7.35
2024-04-10,7.403,7.193,7.403,7.113,51934.0,7.5,7.29,7.5,7.21
2024-04-11,7.403,7.713,7.923,7.403,191790.0,7.5,7.81,8.02,7.5
2024-04-12,7.693,7.403,7.903,7.383,156058.0,7.79,7.5,8.0,7.48
2024-04-15,7.323,7.033,7.383,6.813,153731.0,7.42,7.13,7.48,6.91
2024-04-16,7.003,6.323,7.003,6.323,134543.0,7.1,6.42,7.1,6.42
2024-04-17,6.343,6.803,6.853,6.323,114174.0,6.44,6.9,6.95,6.42
2024-04-18,6.833,6.883,7.053,6.633,83763.0,6.93,6.98,7.15,6.73
2024-04-19,6.953,7.013,7.233,6.823,93005.0,7.05,7.11,7.33,6.92
2024-04-22,7.013,7.203,7.353,6.693,110638.0,7.11,7.3,7.45,6.79
2024-04-23,7.113,6.873,7.163,6.803,123171.0,7.21,6.97,7.26,6.9
2024-04-24,6.963,6.993,7.033,6.843,67489.0,7.06,7.09,7.13,6.94
2024-04-25,7.113,7.463,7.703,7.113,185996.0,7.21,7.56,7.8,7.21
2024-04-26,7.393,7.323,7.493,7.213,121290.0,7.49,7.42,7.59,7.31
2024-04-29,7.263,7.693,7.743,7.253,121043.0,7.36,7.79,7.84,7.35
2024-04-30,7.713,7.823,7.853,7.673,85870.0,7.81,7.92,7.95,7.77
2024-05-06,7.983,8.053,8.153,7.903,92954.0,8.08,8.15,8.25,8.0
2024-05-07,8.053,7.983,8.153,7.903,71211.0,8.15,8.08,8.25,8.0
2024-05-08,8.033,8.033,8.103,7.903,58426.0,8.13,8.13,8.2,8.0
2024-05-09,8.053,8.173,8.223,7.933,44631.0,8.15,8.27,8.32,8.03
2024-05-10,8.193,7.943,8.203,7.903,58059.0,8.29,8.04,8.3,8.0
2024-05-13,7.913,7.703,7.923,7.523,75872.0,8.01,7.8,8.02,7.62
2024-05-14,7.703,7.823,7.903,7.653,56548.0,7.8,7.92,8.0,7.75
2024-05-15,7.793,7.873,8.053,7.793,65594.0,7.89,7.97,8.15,7.89
2024-05-16,7.853,7.943,8.043,7.853,41364.0,7.95,8.04,8.14,7.95
2024-05-17,7.943,7.963,7.983,7.813,45344.0,8.04,8.06,8.08,7.91
2024-05-20,7.973,7.833,7.993,7.803,52331.0,8.07,7.93,8.09,7.9
2024-05-21,7.823,7.693,7.863,7.663,36550.0,7.92,7.79,7.96,7.76
2024-05-22,7.673,7.663,7.763,7.563,42050.0,7.77,7.76,7.86,7.66
2024-05-23,7.663,7.473,7.663,7.433,54546.0,7.76,7.57,7.76,7.53
