股票,代码,日期,涨跌幅%,主力净流入_945前(亿),主力净流入_1130前(亿),主力净流入_全天_逐笔重建(亿),主力净流入_全天_新浪口径(亿)
沪电股份,sz002463,2026-06-24,3.5,-0.405,1.453,5.225,3.672
沪电股份,sz002463,2026-06-25,8.12,1.435,21.172,23.985,23.394
沪电股份,sz002463,2026-06-26,-4.97,-1.326,-16.7,-17.58,-17.732
沪电股份,sz002463,2026-06-29,-4.22,-0.012,-7.042,-6.598,-8.652
沪电股份,sz002463,2026-06-30,8.32,3.764,18.455,18.568,22.94
沪电股份,sz002463,2026-07-01,-5.1,2.978,-7.227,-11.448,-13.296
沪电股份,sz002463,2026-07-02,-10.0,-6.579,-7.6,-10.89,-21.456
沪电股份,sz002463,2026-07-03,3.71,0.889,7.649,8.237,13.379
沪电股份,sz002463,2026-07-06,-4.82,-4.077,-9.791,-12.9,-11.519
沪电股份,sz002463,2026-07-07,0.69,1.257,-0.046,3.947,2.776
沪电股份,sz002463,2026-07-08,-1.17,-1.911,-0.634,-2.444,-2.631
沪电股份,sz002463,2026-07-09,7.1,4.159,3.26,13.075,13.571
沪电股份,sz002463,2026-07-10,-5.72,0.473,-6.1,-12.352,-11.128
