日期,代码,名称,涨跌幅%,"主力净流入(亿,新浪口径)","特大单净(亿,新浪口径)","10:30主力净(亿,分笔重构)","10:30特大单净(亿,分笔重构)","全天主力净(亿,分笔重构)","全天特大单净(亿,分笔重构)",所属板块(通达信),板块涨跌%
2026-07-10,603986,兆易创新,-7.76,-78.76,-78.84,-35.78,-35.78,-90.99,-91.09,半导体,-6.28
2026-07-13,603986,兆易创新,-10.0,-74.0,-71.87,-23.29,-23.29,-13.98,-16.02,半导体,-4.64
2026-07-14,603986,兆易创新,6.03,20.62,20.3,10.56,10.55,16.65,16.31,半导体,0.88
2026-07-15,603986,兆易创新,-2.09,-33.23,-33.45,-6.34,-6.36,-24.93,-25.24,半导体,-5.53
2026-07-16,603986,兆易创新,-10.0,-47.1,-44.37,-13.88,-13.89,-16.34,-19.0,半导体,-5.45
2026-07-17,603986,兆易创新,-10.0,-32.78,-30.24,-8.68,-8.65,-3.45,-6.01,半导体,-8.0
2026-06-05,000725,京东方A,4.59,55.4,54.31,38.05,38.06,37.58,37.86,元器件,-2.41
2026-06-08,000725,京东方A,-2.2,8.45,7.98,4.57,4.56,1.89,1.43,元器件,-3.85
2026-06-09,000725,京东方A,3.69,28.04,27.43,-5.63,-5.68,28.23,27.62,元器件,5.33
2026-06-10,000725,京东方A,-7.58,-11.01,-11.86,-8.73,-8.74,-5.17,-6.04,元器件,-3.84
2026-06-11,000725,京东方A,-3.35,2.7,2.51,-5.44,-5.29,1.41,1.22,元器件,-0.3
2026-06-12,000725,京东方A,-4.5,4.08,3.82,2.37,2.34,2.32,2.06,元器件,-0.49
2026-06-15,000725,京东方A,6.35,20.64,19.14,9.65,9.63,20.55,19.07,元器件,7.63
2026-06-16,000725,京东方A,3.07,18.06,16.91,13.73,13.7,18.15,17.04,元器件,3.26
2026-06-17,000725,京东方A,10.09,49.99,41.31,9.33,11.98,2.26,8.44,元器件,3.85
2026-06-18,000725,京东方A,-1.56,0.14,-1.15,12.41,12.39,15.14,13.85,元器件,2.27
2026-06-22,000725,京东方A,5.8,24.47,22.5,3.39,3.4,21.46,19.48,元器件,-0.29
2026-06-23,000725,京东方A,-2.31,-3.27,-3.59,-0.64,-0.64,-0.14,-0.49,元器件,-3.97
2026-06-24,000725,京东方A,4.43,30.65,29.27,13.84,13.83,32.16,30.79,元器件,3.27
2026-06-25,000725,京东方A,6.36,17.22,16.51,15.38,15.45,23.65,22.95,元器件,3.27
2026-06-26,000725,京东方A,3.59,35.41,34.63,31.56,31.56,37.16,36.38,元器件,-3.11
2026-06-29,000725,京东方A,2.05,12.86,11.89,-1.02,-1.03,17.59,16.62,元器件,-2.56
2026-06-30,000725,京东方A,9.18,95.89,94.85,20.82,20.84,28.46,28.96,元器件,5.05
2026-07-01,000725,京东方A,1.04,19.77,19.64,15.04,15.04,22.11,21.98,元器件,-1.81
