code,name,board,issue_price,latest,first_close,apply_date,list_date,issue_pe,industry_pe,first_close_gt_latest,latest_vs_first_close_pct,first_close_vs_issue_pct,latest_vs_issue_pct,list_year
301666,大普微,非科创板,46.08,602.8,244.55,2026-04-03,2026-04-16,,63.25,False,146.49355959926393,430.7074652777778,1208.1597222222222,2026
920012,创达新材,北交所,19.58,64.8,51.67,2026-04-01,2026-04-13,14.99,63.36,False,25.411263789432926,163.89172625127685,230.949948927477,2026
920181,赛英电子,北交所,28.0,94.05,61.8,2026-03-30,2026-04-10,13.79,29.27,False,52.184466019417485,120.71428571428568,235.89285714285714,2026
688811,有研复材,科创板,6.41,31.62,17.12,2026-03-30,2026-04-10,58.09,36.24,False,84.69626168224298,167.0826833073323,393.29173166926677,2026
603459,红板科技,非科创板,17.7,96.65,57.7,2026-03-27,2026-04-08,25.6,64.2,False,67.50433275563259,225.9887005649718,446.04519774011305,2026
301696,三瑞智能,非科创板,24.68,135.05,92.0,2026-03-27,2026-04-10,30.8,29.25,False,46.79347826086957,272.7714748784441,447.2042139384118,2026
920011,晨光电机,北交所,15.5,21.65,29.04,2026-03-25,2026-04-08,14.96,29.28,True,-25.447658402203853,87.35483870967742,39.677419354838705,2026
920055,隆源股份,北交所,24.7,28.13,37.8,2026-03-23,2026-03-31,14.99,29.78,True,-25.582010582010582,53.036437246963565,13.886639676113365,2026
688813,泰金新能,科创板,26.28,188.18,49.47,2026-03-20,2026-03-31,22.94,43.33,False,280.39215686274514,88.24200913242008,616.0578386605783,2026
301683,慧谷新材,非科创板,78.38,142.6,126.71,2026-03-20,2026-04-01,34.91,35.59,False,12.540446689290508,61.66113804541975,81.93416687930595,2026
001257,盛龙股份,非科创板,7.82,28.8,27.68,2026-03-20,2026-03-31,19.11,39.85,False,4.046242774566489,253.96419437340148,268.28644501278774,2026
920069,普昂医疗,北交所,18.38,35.15,43.48,2026-03-18,2026-03-27,14.53,43.57,True,-19.158233670653168,136.5614798694233,91.24047878128401,2026
920188,悦龙科技,北交所,14.04,24.96,30.2,2026-03-16,2026-03-30,14.99,28.52,True,-17.350993377483437,115.0997150997151,77.77777777777779,2026
688781,视涯科技,科创板,22.68,51.65,46.0,2026-03-16,2026-03-25,,65.25,False,12.282608695652165,102.82186948853615,127.73368606701938,2026
301682,宏明电子,非科创板,69.66,159.19,128.65,2026-03-16,2026-03-25,33.61,65.16,False,23.738826272833258,84.68274476026416,128.52426069480333,2026
920028,新恒泰,北交所,9.4,17.23,22.7,2026-03-11,2026-03-20,14.99,28.56,True,-24.096916299559467,141.48936170212764,83.29787234042554,2026
920078,族兴新材,北交所,6.98,28.79,35.3,2026-03-09,2026-03-18,14.99,34.76,True,-18.441926345609062,405.7306590257879,312.46418338108873,2026
920036,觅睿科技,北交所,21.52,36.91,41.3,2026-02-26,2026-03-09,14.99,65.47,True,-10.629539951573852,91.91449814126393,71.51486988847581,2026
301680,固德电材,非科创板,58.0,109.59,126.71,2026-02-25,2026-03-06,27.96,30.44,True,-13.511167232262643,118.46551724137927,88.94827586206897,2026
920183,海菲曼,北交所,19.71,29.3,53.3,2026-02-24,2026-03-04,14.99,65.52,True,-45.02814258911819,170.42110603754438,48.655504819888385,2026
920187,通领科技,北交所,29.62,18.7,41.89,2026-02-11,2026-03-05,14.47,30.47,True,-55.359274289806635,41.424713031735315,-36.86698176907496,2026
920168,通宝光电,北交所,16.17,16.03,27.49,2026-02-09,2026-02-26,14.99,30.5,True,-41.68788650418334,70.00618429189855,-0.8658008658008698,2026
920166,海圣医疗,北交所,12.64,21.37,34.49,2026-02-04,2026-02-12,13.99,42.95,True,-38.040011597564515,172.86392405063293,69.06645569620254,2026
920180,爱得科技,北交所,7.67,12.5,21.23,2026-02-02,2026-02-10,14.98,42.57,True,-41.12105511069242,176.79269882659713,62.97262059973925,2026
688816,易思维,科创板,55.95,59.5,88.92,2026-02-02,2026-02-11,90.39,44.28,True,-33.085919928025184,58.927613941018755,6.344950848972286,2026
688818,电科蓝天,科创板,9.47,73.22,65.94,2026-01-30,2026-02-10,56.79,44.69,False,11.040339702760082,596.3041182682153,673.1784582893347,2026
603284,林平发展,非科创板,37.88,37.58,58.93,2026-01-30,2026-02-10,18.69,26.36,True,-36.229424741218395,55.57022175290389,-0.7919746568109898,2026
688712,北芯生命,科创板,17.52,38.92,49.64,2026-01-26,2026-02-05,,41.36,True,-21.59548751007252,183.33333333333334,122.14611872146119,2026
001220,世盟股份,非科创板,28.0,29.17,57.73,2026-01-23,2026-02-03,15.29,14.64,True,-49.47167850337779,106.17857142857142,4.1785714285714315,2026
920119,美德乐,北交所,41.88,51.2,109.5,2026-01-21,2026-01-30,14.99,47.63,True,-53.24200913242009,161.46131805157592,22.254059216809942,2026
920159,农大科技,北交所,25.0,28.18,52.89,2026-01-19,2026-01-28,13.4,30.39,True,-46.719606730951035,111.56000000000002,12.719999999999999,2026
601112,振石股份,非科创板,11.18,17.12,24.78,2026-01-19,2026-01-29,32.59,33.72,True,-30.912025827280065,121.64579606440071,53.13059033989267,2026
688785,恒运昌,科创板,92.18,387.5,371.3,2026-01-16,2026-01-28,48.39,39.84,False,4.3630487476434165,302.7988717726187,320.3731829030158,2026
920076,国亮新材,北交所,10.76,12.43,28.06,2026-01-14,2026-01-22,14.97,33.44,True,-55.70206699928724,160.7806691449814,15.520446096654283,2026
920050,爱伦医疗,北交所,15.98,26.98,44.04,2026-01-12,2026-01-21,14.99,29.79,True,-38.73751135331517,175.59449311639548,68.83604505632039,2026
920086,科马材料,北交所,11.66,23.65,54.95,2026-01-06,2026-01-16,14.2,28.68,True,-56.96087352138308,371.2692967409949,102.83018867924527,2026
603352,至信股份,非科创板,21.88,26.57,68.58,2026-01-06,2026-01-15,26.85,28.68,True,-61.25692621755614,213.436928702011,21.435100548446083,2026
920045,蘅东光,北交所,31.59,535.26,309.0,2025-12-23,2025-12-31,14.99,58.05,False,73.22330097087377,878.1576448243115,1594.3969610636277,2025
603402,陕西旅游,非科创板,80.44,60.79,132.0,2025-12-22,2026-01-06,12.37,26.9,True,-53.9469696969697,64.09746394828444,-24.428145201392336,2026
301687,新广益,非科创板,21.93,78.0,71.32,2025-12-22,2025-12-31,28.59,57.92,False,9.366236679753225,225.21659826721384,255.6771545827633,2025
688809,强一股份,科创板,85.09,530.13,226.01,2025-12-19,2025-12-30,48.55,57.92,False,134.5604176806336,165.6128804794923,523.0226818662592,2025
001396,誉帆科技,非科创板,22.29,36.05,50.01,2025-12-19,2025-12-30,19.77,35.36,True,-27.914417116576683,124.3606998654105,61.7317182593091,2025
001369,双欣材料,非科创板,6.85,13.5,19.68,2025-12-19,2025-12-30,16.19,28.75,True,-31.40243902439024,187.2992700729927,97.08029197080292,2025
920121,江天科技,北交所,21.21,28.66,59.51,2025-12-16,2025-12-25,14.5,48.66,True,-51.84002688623761,180.57520037718055,35.12494106553512,2025
688805,健信超导,科创板,18.58,46.29,58.12,2025-12-15,2025-12-24,61.97,37.19,True,-20.354439091534747,212.80947255113026,149.13885898815934,2025
603248,锡华科技,非科创板,10.1,20.79,36.81,2025-12-12,2025-12-23,33.12,43.21,True,-43.52078239608802,264.4554455445545,105.84158415841584,2025
301449,天溯计量,非科创板,36.8,38.43,101.01,2025-12-12,2025-12-23,21.78,35.72,True,-61.95426195426196,174.48369565217394,4.429347826086971,2025
001325,元创股份,非科创板,24.75,37.5,67.23,2025-12-09,2025-12-18,12.93,26.37,True,-44.22132976349844,171.63636363636363,51.515151515151516,2025
688807,优迅股份,科创板,51.66,375.23,230.7,2025-12-08,2025-12-19,60.27,58.09,False,62.648461205028184,346.5737514518002,626.3453348819203,2025
301667,纳百川,非科创板,22.63,70.58,115.0,2025-12-08,2025-12-23,28.7,28.71,True,-38.626086956521746,408.1749889527177,211.88687582854618,2025
