13:17,102.68,55,0
13:17,102.68,33,0
13:17,102.71,41,0
13:17,102.72,221,0
13:17,102.75,36,0
13:17,102.77,12,0
13:17,102.8,18,0
13:17,102.81,98,0
13:17,102.8,39,2
13:17,102.82,25,0
13:17,102.8,79,1
13:17,102.78,86,1
13:17,102.77,81,1
13:17,102.72,47,1
13:17,102.7,25,1
13:17,102.72,54,0
13:17,102.69,19,1
13:17,102.68,51,1
13:18,102.69,79,1
13:18,102.7,16,0
13:18,102.71,89,0
13:18,102.7,16,2
13:18,102.7,14,0
13:18,102.7,13,0
13:18,102.69,44,1
13:18,102.68,46,1
13:18,102.67,8,1
13:18,102.68,7,0
13:18,102.65,24,1
13:18,102.7,200,0
13:18,102.75,76,0
13:18,102.8,13,0
13:18,102.8,8,0
13:18,102.81,4,0
13:18,102.81,60,0
13:18,102.81,58,0
13:18,102.81,27,1
13:18,102.82,56,0
13:19,102.81,10,1
13:19,102.81,31,1
13:19,102.8,33,1
13:19,102.78,33,1
13:19,102.76,9,1
13:19,102.77,10,0
13:19,102.77,5,0
13:19,102.77,122,0
13:19,102.77,23,0
13:19,102.77,28,1
13:19,102.78,14,1
13:19,102.79,29,0
13:19,102.78,18,0
13:19,102.78,81,0
13:19,102.77,13,1
13:19,102.77,32,0
13:19,102.75,22,1
13:19,102.75,179,1
13:19,102.71,21,1
13:19,102.75,6,0
13:20,102.71,9,1
13:20,102.72,62,1
13:20,102.66,65,1
13:20,102.69,18,0
13:20,102.65,24,1
13:20,102.68,10,0
13:20,102.67,22,1
13:20,102.66,23,1
13:20,102.66,20,1
13:20,102.66,128,1
13:20,102.63,50,1
13:20,102.62,38,1
13:20,102.62,25,0
13:20,102.61,114,1
13:20,102.62,34,1
13:20,102.62,9,1
13:20,102.6,19,1
13:20,102.61,76,1
13:20,102.6,83,1
13:20,102.6,24,1
13:21,102.65,56,0
13:21,102.67,130,0
13:21,102.7,41,0
13:21,102.76,163,0
13:21,102.77,28,0
13:21,102.79,12,0
13:21,102.79,43,0
13:21,102.79,22,0
13:21,102.78,21,1
13:21,102.78,11,0
13:21,102.78,3,0
13:21,102.77,46,1
13:21,102.79,38,0
13:21,102.77,97,1
13:21,102.73,31,1
13:21,102.78,9,0
13:21,102.77,23,1
13:21,102.76,40,1
13:21,102.76,5,0
13:21,102.78,154,0
13:22,102.77,47,1
13:22,102.79,140,0
13:22,102.79,59,0
13:22,102.79,44,0
13:22,102.79,90,0
13:22,102.87,142,0
13:22,102.94,203,0
13:22,102.89,91,1
13:22,103.0,75,0
13:22,103.04,120,0
13:22,103.15,7,0
13:22,103.17,25,0
13:22,103.13,78,1
13:22,103.18,35,0
13:22,103.17,26,1
13:22,103.16,47,0
13:22,103.15,246,1
13:22,103.15,21,0
13:22,103.04,9,1
13:22,103.04,11,1
13:23,103.03,69,1
13:23,102.95,81,1
13:23,102.99,43,0
13:23,102.95,9,1
13:23,102.98,15,0
13:23,102.96,42,1
13:23,102.96,44,1
13:23,102.95,9,1
13:23,102.96,35,0
13:23,102.96,68,0
13:23,102.95,6,2
13:23,102.96,9,0
13:23,103.0,94,0
13:23,102.99,16,1
13:23,103.04,10,0
13:23,103.02,3,1
13:23,103.03,33,1
13:23,103.03,17,0
13:23,103.02,19,1
13:23,103.05,72,0
13:24,103.02,49,1
13:24,103.02,18,1
13:24,103.01,16,1
13:24,103.0,32,1
13:24,103.0,10,1
13:24,103.0,39,1
13:24,102.99,10,1
13:24,102.98,21,1
13:24,102.97,32,1
13:24,102.99,26,1
13:24,102.96,54,1
13:24,102.96,20,1
13:24,102.98,45,0
13:24,102.97,39,2
13:24,102.96,105,1
13:24,102.95,14,1
13:24,102.95,44,1
13:24,102.94,27,1
13:24,102.91,30,1
13:24,102.9,21,1
13:25,102.9,107,1
13:25,102.9,65,0
13:25,102.93,347,0
13:25,102.94,15,1
13:25,102.95,20,1
13:25,102.99,5,0
13:25,102.99,10,0
13:25,102.96,103,1
13:25,102.97,11,1
13:25,102.99,17,1
13:25,102.99,14,0
13:25,103.01,165,0
13:25,103.05,35,0
13:25,103.04,55,1
13:25,103.08,15,0
13:25,103.1,57,0
13:25,103.09,19,0
13:25,103.09,18,0
13:25,103.1,28,0
13:25,103.13,36,0
13:26,103.1,51,1
13:26,103.15,39,0
13:26,103.15,29,0
13:26,103.15,28,0
13:26,103.15,55,0
13:26,103.12,57,1
13:26,103.12,11,1
13:26,103.1,56,1
