date,code,name,entry,gate,close,gap,ret_open1,ret_close1,ret_close2,ret_close3,ret_close5,ret_cond
2025-09-05,000009,中国宝安,e2,False,10.3,0.013592233009708687,0.013592233009708687,0.08640776699029118,0.08737864077669899,0.06601941747572804,0.10485436893203892,0.06601941747572804
2025-09-12,000009,中国宝安,e2,False,11.38,0.0,0.0,-0.04130052724077338,-0.048330404217926226,-0.061511423550087985,-0.0896309314586996,-0.061511423550087985
2025-08-22,000021,深科技,v1,True,21.22,0.020735155513666337,0.020735155513666337,-0.01602262016965128,0.015551366635249808,-0.011310084825636113,0.018850141376060447,-0.011310084825636113
2025-08-18,000021,深科技,e2,True,19.62,0.03465851172273182,0.03465851172273182,0.06065239551478063,0.041794087665647295,0.03618756371049936,0.06422018348623837,0.03465851172273182
2025-08-22,000021,深科技,e2,True,21.22,0.020735155513666337,0.020735155513666337,-0.01602262016965128,0.015551366635249808,-0.011310084825636113,0.018850141376060447,-0.011310084825636113
2025-08-28,000021,深科技,e2,True,21.86,0.0,0.0,-0.010978956999085021,-0.005946935041171053,-0.05535224153705398,-0.12259835315645018,-0.05535224153705398
2025-09-10,000025,特 力Ａ,e2,False,19.15,-0.006788511749347248,-0.006788511749347248,-0.028198433420365543,-0.033420365535247853,-0.043342036553524754,-0.045430809399477634,-0.043342036553524754
2025-07-29,000032,深桑达Ａ,e2,True,22.905,-0.003492687186203991,-0.003492687186203991,-0.03012442698100859,-0.017900021829294954,0.08033180528268935,0.10870988867059594,0.08033180528268935
2025-08-20,000034,神州数码,e2,True,32.655,0.004379114990047395,0.004379114990047395,-0.004807839534527791,0.035645383555351406,0.030623181748583583,0.03585974582759155,0.030623181748583583
2025-08-22,000034,神州数码,e2,True,33.819,0.013306129690410673,0.013306129690410673,-0.004849345042727493,0.02238386705697981,0.0002069842396286159,-0.05449599337650446,0.0002069842396286159
2025-07-02,000039,中集集团,e2,True,8.126,0.0,0.0,-0.023381737632291344,-0.03445729756337679,-0.03322667979325622,-0.03199606202313554,-0.03322667979325622
2025-09-17,000049,德赛电池,v1,True,27.8,-0.007194244604316502,-0.007194244604316502,-0.030215827338129442,-0.047841726618705116,-0.056834532374100744,-0.03884892086330938,-0.056834532374100744
2025-09-17,000049,德赛电池,e2,True,27.8,-0.007194244604316502,-0.007194244604316502,-0.030215827338129442,-0.047841726618705116,-0.056834532374100744,-0.03884892086330938,-0.056834532374100744
2025-08-28,000050,深天马Ａ,e2,True,10.28,0.0,0.0,-0.008754863813229541,-0.021400778210116655,-0.04474708171206221,-0.06906614785992204,-0.04474708171206221
2025-09-01,000060,中金岭南,e2,True,5.325,0.00375586854460086,0.00375586854460086,-0.016901408450704203,-0.03380281690140852,-0.05070422535211272,-0.011267605633802913,-0.05070422535211272
2025-10-13,000060,中金岭南,e2,False,6.055,0.01651527663088359,0.01651527663088359,-0.024772914946325275,-0.03303055326176707,-0.05780346820809246,-0.08092485549132933,-0.05780346820809246
2026-01-22,000065,北方国际,e2,True,12.823,0.026514856117913155,0.026514856117913155,0.0015596974187006563,-0.014037276768306906,-0.013257428058956577,-0.02963425095531469,0.026514856117913155
2025-08-25,000099,中信海直,e2,True,24.22,-0.002064409578860338,-0.002064409578860338,0.036746490503716034,0.002064409578860449,0.00041288191577204536,0.016102394715111545,0.00041288191577204536
2025-07-21,000157,中联重科,e2,True,7.28,0.009615384615384581,0.009615384615384581,0.08379120879120872,0.02060439560439553,0.03296703296703285,0.008241758241758212,0.03296703296703285
2025-10-15,000157,中联重科,e2,False,8.14,-0.004914004914005066,-0.004914004914005066,-0.009828009828009798,-0.04914004914004921,-0.04054054054054068,-0.02211302211302224,-0.04054054054054068
2025-11-06,000157,中联重科,e2,True,8.43,-0.005931198102016477,-0.005931198102016477,0.0,-0.014234875444839812,-0.022538552787663035,-0.033214709371292894,-0.022538552787663035
