month,信号数,净胜率,平均净收益万分之
2025-07,75,28.0,-10.7
2025-08,105,30.5,-8.4
2025-09,51,21.6,-48.1
2025-10,21,14.3,-73.7
2025-11,19,0.0,-114.1
2025-12,21,19.0,-46.7
2026-01,79,30.4,-62.8
2026-02,30,13.3,-142.9
2026-03,23,13.0,-115.1
2026-04,16,18.8,-42.5
2026-05,50,24.0,-73.8
2026-06,22,13.6,-94.2
2026-07,4,0.0,-176.2
