date,code,name,close,pct,turnover,cap_yi,amount_yi,vol_ratio5,clv,ret_open,ret_close,idx_pct,idx_clv,idx_ret_open,next_locked_down
2025-07-01,001283,豪鹏科技,43.639,4.715170130057111,5.208276010833307,58.93737186,3.069621,1.7523884521268287,0.9003236245954694,-0.00547675244620649,-0.01801141181053645,0.16971199772362056,0.8379006038086507,0.00014203248485822328,False
2025-07-01,301219,腾远钴业,41.046,4.283536585365844,5.248899259481438,151.1291247526,7.93261551,1.0950107194556593,0.9867972742759801,-0.02455781318520689,-0.022681869122447962,0.16971199772362056,0.8379006038086507,0.00014203248485822328,False
2025-07-01,603990,麦迪科技,16.77,3.200000000000003,8.574870363907266,51.1896587787,4.38944688,1.7069273820253001,0.967213114754099,-0.0005963029218841731,-0.036970781156827726,0.16971199772362056,0.8379006038086507,0.00014203248485822328,False
2025-07-02,300827,上能电气,22.502,3.0169848464038695,6.068108509440227,122.7659140968,7.44956888,1.4856184963785306,0.9633027522935766,0.004132965958581369,-0.00413296595858148,0.02333390822670811,0.6229946524064164,0.0014504219409283703,False
2025-07-03,001283,豪鹏科技,44.779,4.494434461997998,6.410126343899719,60.4676755504,3.8760544,2.0178280036045693,0.8682654402102508,0.0,-0.009446392282096538,0.6184578870496615,0.8659365558912491,-0.00015372712678962674,False
2025-07-03,603002,宏昌电子,6.765,3.519510328997688,8.107419307422923,76.8905229102,6.2338371,1.036254509864561,0.8717948717948701,-0.008869179600886845,0.0014781966001480296,0.6184578870496615,0.8659365558912491,-0.00015372712678962674,False
2025-07-07,000506,招金黄金,9.84,3.3613445378151363,6.34194664984319,91.3847649624,5.79557304,1.164874863879289,0.9777777777777782,0.020325203252032464,0.060975609756097615,-0.42765305609964166,0.3710094909404646,6.557095912662625e-05,False
2025-07-07,002768,国恩股份,20.649,4.987797437461872,5.619264447421949,79.696582745,4.47836174,2.551134348587902,0.8942128189172381,-0.0003389994672866603,0.008232844205530387,-0.42765305609964166,0.3710094909404646,6.557095912662625e-05,False
2025-07-07,300821,东岳硅材,9.03,3.7931034482758585,5.291205987377382,108.581062875,5.7452477,1.0628910494566117,0.9130434782608687,0.0,0.10963455149501655,-0.42765305609964166,0.3710094909404646,6.557095912662625e-05,False
2025-07-08,002170,芭田股份,10.3,4.462474645030445,5.05956119483639,86.8203866075,4.39273059,1.332134282138062,0.8653846153846182,-0.007766990291262155,-0.01553398058252431,0.8393082768204163,0.8963083604777375,-0.00023759206692586243,False
2025-07-08,300684,中石科技,24.763,4.25209447227719,8.15392182209868,52.166670135,4.2536295,1.2631629165070128,0.8880000000000023,-0.006057424383152377,-0.002826798045471035,0.8393082768204163,0.8963083604777375,-0.00023759206692586243,False
2025-07-08,300842,帝科股份,46.2,4.194857916102834,7.139248137257454,59.65410528,4.2588546,1.7551779682638813,0.8795180722891579,-0.008658008658008809,-0.012987012987012991,0.8393082768204163,0.8963083604777375,-0.00023759206692586243,False
2025-07-08,600255,鑫科材料,3.46,4.216867469879526,8.46819798226219,62.492684643000004,5.29200426,3.010452768273154,0.9411764705882341,0.005780346820809301,-0.017341040462427793,0.8393082768204163,0.8963083604777375,-0.00023759206692586243,False
2025-07-10,000506,招金黄金,10.81,3.9423076923077005,6.149754701795543,100.3932224841,6.17393692,1.1999468867839695,0.8771929824561399,0.0,-0.044403330249768724,0.4665029814100219,0.43252595155709306,0.00036159420651271645,False
2025-07-10,600326,西藏天路,8.8,3.7735849056603765,6.802577625911338,119.89686922400001,8.156077600000001,1.5583770752394415,0.8604651162790726,0.0,0.03409090909090895,0.4665029814100219,0.43252595155709306,0.00036159420651271645,False
2025-07-11,601020,华钰矿业,20.641,4.453215930367893,9.416563931146218,169.89668542559997,15.99843,1.40894403237273,0.8828828828828805,-0.003391308560631634,-0.0334286129547986,0.11945077580659547,0.08418413039584138,0.0015940978527004823,False
2025-07-15,002315,焦点科技,38.185,4.504775719094667,5.448222588173917,133.9280182098,7.29669654,1.051578678444109,0.9200945626477557,-0.015320151892104228,0.007646981799135588,0.034597167014704944,0.5123966942148742,8.210875179770483e-05,False
2025-07-15,300253,卫宁健康,10.68,4.195121951219516,6.671210742422973,198.0735622092,13.21390476,1.8601553004767142,0.8875000000000001,0.000936329588014928,-0.017790262172284632,0.034597167014704944,0.5123966942148742,8.210875179770483e-05,False
2025-07-15,300684,中石科技,25.223,3.317904395199278,8.578362368959358,53.1077159492,4.55577232,1.5905523229466891,0.8761061946902649,-0.0019823177258850855,-0.021012567894381995,0.034597167014704944,0.5123966942148742,8.210875179770483e-05,False
2025-07-15,301379,天山电子,19.928,3.350274867752301,7.570860856450793,60.93029600549999,4.61294793,1.4865986300060074,0.9222333000997015,-0.0072260136491369975,-0.02268165395423538,0.034597167014704944,0.5123966942148742,8.210875179770483e-05,False
2025-07-15,688327,云从科技,13.96,3.101920236336797,6.099824548399875,116.54755172040001,7.109196170400001,1.9532574369570312,0.9615384615384623,-0.0007163323782236608,-0.009312320916905481,0.034597167014704944,0.5123966942148742,8.210875179770483e-05,False
2025-07-16,300233,金城医药,17.063,4.34171100103955,9.370762334047402,64.0150047153,5.99869395,2.0145575757293903,0.9382716049382707,-0.007618824356795395,0.003516380472367242,-0.29509387767289175,0.3912787271655782,-0.0005315432221999483,False
2025-07-16,300725,药石科技,39.941,3.3108300354362408,5.944198439434438,81.5341255744,4.84655022,1.0473921455802155,1.0,0.008762925314839354,0.04531684234245503,-0.29509387767289175,0.3912787271655782,-0.0005315432221999483,False
2025-07-16,603636,南威软件,13.62,3.89016018306636,8.243789524602109,79.04510323259998,6.51631194,1.112255155406109,0.9178082191780815,-0.0110132158590307,-0.0066079295154184425,-0.29509387767289175,0.3912787271655782,-0.0005315432221999483,False
2025-07-17,000886,海南高速,7.23,4.17867435158501,5.879625117738541,70.6969389504,4.15671498,1.9079955635882369,0.8717948717948725,0.0,0.008298755186721962,0.6810241565182729,0.9966124661246489,0.001333501880039334,False
2025-07-17,002373,千方科技,10.368,4.537205081669704,6.095242307965533,143.5453079292,8.74943434,1.907113726779908,0.8840579710144929,0.0038580246913579863,0.051118827160493874,0.6810241565182729,0.9966124661246489,0.001333501880039334,False
2025-07-17,300009,安科生物,9.58,4.814004376367609,7.956920971149967,120.93330290560003,9.62256734,1.3031317825824877,0.8775510204081624,-0.013569937369519947,-0.024008350730688965,0.6810241565182729,0.9966124661246489,0.001333501880039334,False
2025-07-17,300133,华策影视,7.839,3.4305317324185403,5.237267215203899,130.6313048175,6.8415105,1.3231667825061966,0.9722222222222229,0.012756729174639547,-0.0051026916698558855,0.6810241565182729,0.9966124661246489,0.001333501880039334,False
2025-07-17,300244,迪安诊断,15.328,3.2327586206896353,6.429905990980207,78.5770600237,5.05243109,1.352397578303722,0.9104477611940291,0.017614822546972997,0.013048016701461496,0.6810241565182729,0.9966124661246489,0.001333501880039334,False
2025-07-17,301333,诺思格,54.091,4.461095768718271,5.089858668093796,52.328722145,2.663458,1.632072335615983,0.9158249158249158,-0.003512599138488781,-0.015529385664898143,0.6810241565182729,0.9966124661246489,0.001333501880039334,False
2025-07-17,688302,海创药业,54.31,3.447619047619055,5.043428612126344,53.7753712738,2.7121224611000003,1.5657121590687837,0.8884615384615389,0.0,0.05137175474129996,0.6810241565182729,0.9966124661246489,0.001333501880039334,False
2025-07-18,002163,海南发展,10.57,3.121951219512198,5.793549272282908,84.93511608750002,4.9207578,1.5838755925839485,0.88235294117647,0.0018921475875117721,-0.014191106906338735,0.5963579039730105,0.7594786729857914,0.002764534131648011,False
2025-07-21,002204,大连重工,6.446,4.203039120594898,6.250335150690585,126.3116000928,7.89489834,2.5044459547827933,0.892857142857142,0.015513496742165733,0.06360533664287926,0.666740584691583,0.9775132275132378,0.0004234373814435699,False
2025-07-21,300401,花园生物,16.427,3.594626978621429,7.611210550646992,88.6594230326,6.74805536,1.1502720161675946,0.9402985074626877,-0.0073050465696719025,-0.00304376940402995,0.666740584691583,0.9775132275132378,0.0004234373814435699,False
2025-07-21,300684,中石科技,25.963,4.214667041303732,9.715988171917846,54.621572259,5.3070255,1.6812547684822567,0.8863636363636375,-0.008473597041944392,0.10014251049570544,0.666740584691583,0.9775132275132378,0.0004234373814435699,False
2025-07-21,600961,株冶集团,11.91,4.74934036939314,5.531911965091059,89.54085660179999,4.95332136,1.4504198550751932,0.9583333333333343,0.0,0.02267002518891692,0.666740584691583,0.9775132275132378,0.0004234373814435699,False
2025-07-21,600975,新五丰,6.51,4.159999999999986,5.2196604818836825,81.35297927399998,4.24634931,2.9725693536170885,0.9629629629629637,-0.009216589861751112,0.007680491551459223,0.666740584691583,0.9775132275132378,0.0004234373814435699,False
2025-07-22,000422,湖北宜化,13.54,4.394757131842697,8.515548370411057,145.8784405848,12.42234917,1.3360109227375898,0.9135802469135798,0.030280649926144765,-0.004431314623338123,0.8162795763668074,0.995281163979556,0.0024739254569112745,False
2025-07-22,002051,中工国际,8.99,3.452243958573087,5.700637654840155,111.603485175,6.3621103,3.594758101835189,0.9772727272727277,-0.006674082313681939,-0.03893214682981083,0.8162795763668074,0.995281163979556,0.0024739254569112745,False
2025-07-22,002358,森源电气,5.58,4.104477611940283,6.496459217197681,51.8803681716,3.37038696,3.4863567257065213,0.870967741935484,0.01971326164874565,-0.02508960573476693,0.8162795763668074,0.995281163979556,0.0024739254569112745,False
2025-07-22,002523,天桥起重,4.0,3.0927835051546504,6.5172241057906435,56.7440158566,3.6981346799999995,2.715393370658896,0.8823529411764728,0.004999999999999893,-0.030000000000000027,0.8162795763668074,0.995281163979556,0.0024739254569112745,False
2025-07-22,300201,海伦哲,5.96,4.7451669595782064,9.619047646091813,60.118528078500006,5.78282986,2.808692798516017,0.9666666666666673,-0.015100671140939603,-0.05369127516778527,0.8162795763668074,0.995281163979556,0.0024739254569112745,False
2025-07-22,300284,苏交科,10.095,4.99219968798752,7.573479610008152,120.1108698831,9.09657224,4.015455547308998,0.8611111111111117,0.07033184744923227,-0.017830609212481585,0.8162795763668074,0.995281163979556,0.0024739254569112745,False
2025-07-22,300435,中泰股份,16.11,4.610389610389598,5.506316666722467,60.34787392599999,3.32294504,2.920704947169225,0.8977272727272728,0.0012414649286156543,-0.03165735567970207,0.8162795763668074,0.995281163979556,0.0024739254569112745,False
2025-07-22,300677,英科医疗,31.561,4.537776158457829,7.293757963503792,147.64594635420002,10.76893797,1.0838429034646513,0.9640718562874259,-0.004752701118468927,-0.027882513228351447,0.8162795763668074,0.995281163979556,0.0024739254569112745,False
2025-07-22,601011,宝泰隆,2.95,4.240282685512375,5.618426285438486,56.5121039005,3.1750909,2.44686607121747,0.8823529411764708,0.023728813559321882,-0.01016949152542379,0.8162795763668074,0.995281163979556,0.0024739254569112745,False
2025-07-22,603069,海汽集团,23.52,4.440497335701599,9.552088607594937,74.3232,7.09941792,1.7439298189663044,0.8776978417266176,-0.002125850340136126,-0.08290816326530615,0.8162795763668074,0.995281163979556,0.0024739254569112745,False
2025-07-23,002215,诺 普 信,10.88,3.2258064516129226,8.295179642428065,90.3584556706,7.49539622,2.4833315800624955,0.8717948717948747,0.022977941176470562,0.010110294117646967,0.019665158195292243,0.14029207565239457,-0.000713632071693393,False
2025-07-23,603859,能科科技,37.42,4.847296161389747,6.876239511543264,91.7861076451,6.3114326,1.243395431670891,0.9270386266094415,-0.003206841261357729,-0.010154997327632365,0.019665158195292243,0.14029207565239457,-0.000713632071693393,False
2025-07-24,000969,安泰科技,14.1,3.44827586206895,6.9277100817924815,148.91303155300002,10.3162631,1.2105083881187055,0.864864864864865,0.0007092198581559739,-0.01773049645390068,0.7104765557300441,0.9163995067817432,-0.0008965929468022216,False
2025-07-24,002161,远 望 谷,7.337,3.2362459546925404,8.140716447135233,54.36128722500001,4.42539825,1.3486371282593455,0.9629629629629606,0.0013629548861933127,0.10085866157830181,0.7104765557300441,0.9163995067817432,-0.0008965929468022216,False
2025-07-24,002338,奥普光电,47.33,3.115468409586053,5.159583333333333,113.76,5.869542,1.4045957037497476,0.9431818181818173,0.00021128248468205157,0.036974434819353474,0.7104765557300441,0.9163995067817432,-0.0008965929468022216,False
2025-07-24,002407,多氟多,12.746,3.9980417754569286,5.0013008133834465,139.59249444299996,6.98144056,1.959898518462549,0.9016393442622971,0.0023536795857523884,-0.0007845598619174998,0.7104765557300441,0.9163995067817432,-0.0008965929468022216,False
2025-07-24,300118,东方日升,10.91,4.3021032504779955,7.952980779306512,101.11672532799999,8.04179373,1.3977825202612217,0.9821428571428575,-0.00274977085242889,-0.01741521539871671,0.7104765557300441,0.9163995067817432,-0.0008965929468022216,False
2025-07-24,300291,百纳千成,6.32,4.809286898839149,6.555576018982388,58.7674613008,3.8525456,1.1008105380785314,1.0,0.0,0.011075949367088445,0.7104765557300441,0.9163995067817432,-0.0008965929468022216,False
2025-07-24,300655,晶瑞电材,9.664,3.2478632478632585,5.730490829883411,114.05574311219998,6.5359539,1.354754362103726,0.9429429429429426,0.0010347682119205004,0.023696192052980125,0.7104765557300441,0.9163995067817432,-0.0008965929468022216,False
2025-07-24,300775,三角防务,27.01,4.52786377708978,6.061697511515028,144.12801254770002,8.73660415,1.567567909377633,0.9618320610687044,0.01110699740836707,0.0029618659755645815,0.7104765557300441,0.9163995067817432,-0.0008965929468022216,False
2025-07-24,600206,有研新材,19.974,3.203472150459863,8.537182155937694,169.90325373240003,14.50495026,1.0166734799583719,0.9599999999999985,0.002503254230499685,-0.009011715229798711,0.7104765557300441,0.9163995067817432,-0.0008965929468022216,False
2025-07-24,603005,晶方科技,28.68,3.0172413793103425,5.8276983883750395,187.82545132799999,10.9459008,1.7275962854038918,0.9876543209876524,0.005927475592747644,0.009065550906555142,0.7104765557300441,0.9163995067817432,-0.0008965929468022216,False
2025-07-24,688023,安恒信息,57.53,3.844765342960299,5.3178217719744225,58.7813597679,3.1258879476,1.2751471425983882,0.9578947368421061,0.002259690596210673,-0.009560229445506718,0.7104765557300441,0.9163995067817432,-0.0008965929468022216,False
2025-07-25,002892,科力尔,14.798,4.299407950380596,9.98719009500115,74.266567167,7.41714324,2.498981397522599,0.9824561403508776,0.02432761183943777,-0.013515339910798674,-0.5273509052696523,0.2862385321100833,0.00025198926138059186,False
2025-07-25,300236,上海新阳,41.922,4.148862168339451,5.859663982460146,118.105243248,6.9205704,2.2271541396267813,0.9615384615384601,0.00906445303182113,0.014550832498449573,-0.5273509052696523,0.2862385321100833,0.00025198926138059186,False
2025-07-25,300576,容大感光,34.464,3.1300496738284833,7.038627040900233,98.37875426219999,6.9245136,2.324211728651595,0.9002932551319631,0.0,0.014246750232126182,-0.5273509052696523,0.2862385321100833,0.00025198926138059186,False
2025-07-28,300188,国投智能,16.58,3.7546933667083726,6.923226802433392,141.84332422199998,9.820135039999998,1.9136918166773398,0.8989898989898976,0.05971049457177324,0.1851628468033777,0.2098295195727795,0.689291101055798,-0.0007592206624077447,False
2025-07-29,300045,华力创通,20.0,3.626943005181338,8.470503815992885,104.7075852,8.86926,3.2059636622316816,0.9090909090909091,0.000500000000000167,0.03149999999999986,0.39169983219773385,0.9633566433566576,-0.0007418076020830888,False
2025-07-29,300821,东岳硅材,10.27,4.369918699186992,5.68084893136574,123.45846817499998,7.01348907,1.0333017695430953,0.9186046511627903,-0.008763388510223957,0.00778967867575453,0.39169983219773385,0.9633566433566576,-0.0007418076020830888,False
2025-07-29,600129,太极集团,24.12,3.120991876870449,5.966288543784605,133.002066222,7.93528704,1.3098765500914547,0.9473684210526327,-0.005389718076285299,-0.004560530679933672,0.39169983219773385,0.9633566433566576,-0.0007418076020830888,False
2025-07-29,600207,安彩高科,5.13,4.693877551020398,5.192008463715915,55.88173402019999,2.90138436,2.352979353830562,0.8684210526315794,0.0,-0.03898635477582846,0.39169983219773385,0.9633566433566576,-0.0007418076020830888,False
2025-07-29,600255,鑫科材料,3.53,4.7477744807121525,9.635627904928699,63.75698751149999,6.14338608,3.048886285183311,0.8999999999999998,0.014164305949008638,0.025495750708215414,0.39169983219773385,0.9633566433566576,-0.0007418076020830888,False
