code,name,trade,float_cap_yi,float_shares,turnoverratio
600163,中闽能源,4.9,93.246811007,1902996143.0,0.95023
600166,福田汽车,3.13,247.8146314871,7917400367.000001,1.72429
600167,联美控股,5.87,132.8287351781,2262840463.0,0.48398
600168,武汉控股,4.29,42.6167557101,993397568.9999999,0.38646
600170,上海建工,2.3,204.376614112,8885939744.000002,1.30273
600171,上海贝岭,25.84,183.18578149520002,708923303.0,3.15706
600172,黄河旋风,14.07,179.569184025,1276255750.0,13.44264
600173,卧龙新能,5.68,39.7836426592,700416244.0,0.75711
600177,雅戈尔,7.82,352.1691591606,4503441933.0,0.4608
600178,东安动力,8.6,40.116949846,466476161.0,1.1417
600179,安通控股,4.35,168.0091145325,3862278495.0000005,0.71884
600184,光电股份,19.32,112.5829468176,582727468.0,2.4017
600185,珠免集团,4.57,86.1447648315,1885005794.9999998,1.5893
600186,莲花控股,10.25,182.4795498275,1780288291.0,15.36164
600189,泉阳泉,7.61,54.4265534932,715197811.9999999,2.136
600191,华资实业,8.69,42.1405908,484932000.0,2.33328
600195,中牧股份,6.52,66.57886655200001,1021148260.0000002,1.3591
600196,复星医药,24.84,526.23262413,2118488825.0,2.81516
600197,伊力特,10.2,48.263821134,473174717.0,1.64692
600198,大唐电信,7.32,95.3027256528,1301949804.0,1.86449
600199,金种子酒,6.94,45.6510995856,657796823.9999999,4.96165
600201,生物股份,12.21,135.7444095546,1111747825.9999998,1.80403
600203,福日电子,10.84,64.2799080888,592988082.0,10.22506
600206,有研新材,47.65,403.382662698,846553332.0000001,11.1089
600207,安彩高科,4.31,46.949371077399995,1089312554.0,1.65807
600208,衢州发展,2.88,245.0297185056,8507976337.000001,1.06543
600210,紫江企业,6.58,99.80123919639999,1516736158.0,1.24209
600211,西藏药业,40.07,129.1533018372,322319196.0,2.79614
600216,浙江医药,12.53,119.2091012175,951389475.0,3.35642
600217,中再资环,3.0,49.72961019,1657653673.0,0.87173
600218,全柴动力,7.35,32.016594046499996,435599919.00000006,1.14284
600219,南山铝业,4.15,476.5736146985,11483701558.999998,1.44044
600221,海航控股,1.34,574.1299001021999,42845514933.0,0.59459
600222,太龙药业,7.89,44.1337551387,559363183.0,5.0921
600223,XD福瑞达,5.55,56.419567012499996,1016568774.9999999,1.04202
600226,亨通股份,7.35,218.61701996399998,2974381224.0,4.03371
600227,赤天化,2.92,37.3059142476,1277599803.0,13.27952
600229,城市传媒,4.92,32.5068229728,660707784.0,1.19978
600230,沧州大化,13.03,53.939120254500004,413961015.0,3.85556
600231,凌钢股份,1.69,47.9348791389,2836383381.0000005,0.57446
600233,圆通速递,17.5,599.0145241499999,3422940137.9999995,1.2088
600234,科新发展,21.78,57.177067919399995,262520972.99999997,0.90694
600236,桂冠电力,10.0,788.2377802,7882377802.0,0.21273
600237,铜峰电子,9.33,58.2766536735,624615794.9999999,7.0429
600246,万通发展,17.98,339.8961631848,1890412476.0,8.33241
600248,陕建股份,2.91,107.8370132226,3705739286.0,0.58246
600251,冠农股份,9.06,70.3956186198,776993582.9999999,1.53691
600252,中恒集团,2.19,69.73317123300001,3184163070.0,3.92725
600255,鑫科材料,3.08,55.629326214,1806146954.9999998,7.3529
600256,广汇能源,5.55,354.756164502,6392002964.000001,2.03539
600258,首旅酒店,11.58,129.3026419908,1116603126.0,2.3669
600259,中稀有色,82.66,278.09792320599996,336435910.0,3.40776
600261,阳光照明,3.02,40.3185995732,1335052966.0,0.89855
600262,北方股份,19.24,32.708,170000000.0,1.63124
600266,城建发展,4.02,83.4448889814,2075743507.0000002,2.03115
600267,海正药业,11.98,141.3965971008,1180272096.0,6.32817
600268,国电南自,10.26,104.18983317,1015495450.0,1.23475
600269,赣粤高速,3.94,92.0150363516,2335407014.0,2.42325
600271,航天信息,6.56,121.5492322528,1852884638.0000002,0.87298
600273,嘉化能源,6.62,86.8086638764,1311309122.0,1.489
600278,东方创业,6.16,53.007949271200005,860518657.0,0.6222
600279,重庆港,4.18,49.6110106294,1186866283.0,1.52158
600280,中央商场,2.68,30.2393723184,1128334788.0,4.411
600282,南钢股份,4.76,293.4583321236,6165091011.0,0.48791
600283,钱江水利,7.61,42.6787747378,560824898.0,0.67563
600284,浦东建设,4.91,47.6395696,970256000.0,1.8365
600285,羚锐制药,22.92,129.8396193912,566490485.9999999,2.87216
600288,大恒科技,15.46,67.52928,436800000.0,3.29583
600292,电投水电,12.5,54.910447875,439283583.0,4.92673
600293,三峡新材,2.75,31.903988764999998,1160145046.0,9.35387
600295,鄂尔多斯,12.51,247.1445893754,1975576253.9999998,0.73211
600298,安琪酵母,38.04,326.0600391684,857150471.0,1.54953
600299,安迪苏,7.89,242.99458337730002,3079779257.0000005,0.73122
600300,维维股份,3.13,50.616550234,1617142180.0,1.69487
600301,华锡有色,43.0,118.39434283,275335681.0,5.59859
600305,恒顺醋业,6.82,75.2218657256,1102959907.9999998,0.84863
600307,酒钢宏兴,1.44,90.1923469056,6263357424.0,1.06888
600308,华泰股份,3.25,49.29828072,1516870176.0,0.87398
600310,广西能源,4.13,60.533852818599996,1465710722.0,5.71589
600312,平高电气,17.21,233.5261572789,1356921309.0,1.23359
600313,农发种业,5.4,58.438727801999995,1082198663.0,2.71482
600315,上海家化,18.11,121.740124978,672225980.0,0.94525
600316,洪都航空,26.48,189.8919227776,717114512.0000001,1.19987
600318,新力金融,6.09,31.225112788799997,512727632.00000006,2.07101
600320,振华重工,4.14,137.04252421860002,3310205899.0000005,1.18922
600323,瀚蓝环境,30.3,247.050185238,815347146.0,0.68088
600325,华发股份,2.42,66.6020812072,2752152116.0,3.07319
600326,西藏天路,6.34,86.38024441820001,1362464423.0,1.64046
600327,大东方,3.6,31.852062647999997,884779517.9999999,2.55597
600328,中盐化工,6.11,89.5915124663,1466309532.9999998,1.11342
600329,达仁堂,38.72,219.5769986432,567089356.0,1.3284
600330,天通股份,23.43,288.9936836688,1233434416.0,10.57622
600331,宏达股份,10.56,214.5792,2032000000.0,2.2868
600332,白云山,22.44,315.4819289556,1405890948.9999998,1.2007
600333,长春燃气,5.56,33.8621060304,609030684.0,2.07781
600335,国机汽车,5.18,77.0502670056,1487456892.0000002,0.77125
600336,澳柯玛,5.94,47.4020772786,798014768.9999999,1.13604
600338,西藏珠峰,12.62,115.3733232016,914210168.0,3.8204
600339,中油工程,3.25,181.4522928075,5583147471.0,1.3065
600343,航天动力,20.21,128.98150293080002,638206348.0000001,7.55222
600345,长江通信,56.49,119.5098468753,211559297.0,7.31628
600348,XD华阳股,8.55,308.44125,3607499999.9999995,0.66211
600350,山东高速,12.11,585.4665269075,4834570825.0,0.24875
600351,亚宝药业,6.72,46.5024030912,692000046.0,5.12051
600352,浙江龙盛,12.76,415.125145336,3253331860.0,2.88772
600353,旭光电子,37.15,307.9033455685,828811159.0,5.74142
600360,华微电子,14.31,137.4182580024,960295304.0,12.10687
600361,创新新材,3.56,132.88279970279999,3732662912.9999995,1.39431
600363,联创光电,28.69,129.35989630499998,450888449.99999994,3.90037
600366,宁波韵升,13.8,151.667665038,1099041051.0,5.38885
600367,红星发展,36.62,117.9065792484,321973182.0,7.87657
600368,五洲交通,3.83,61.649742761400006,1609653858.0,1.12254
600369,西南证券,4.2,279.094583208,6645109124.0,0.79629
600372,中航机载,11.31,547.279208853,4838896630.0,0.61362
600373,中文传媒,7.12,95.93194079279999,1347358718.9999998,1.01093
600375,汉马科技,3.96,57.922356096,1462685760.0,1.97685
600376,首开股份,3.3,85.125652986,2579565242.0000005,3.55987
600377,宁沪高速,11.9,452.45977711899997,3802183000.9999995,0.41075
600378,昊华科技,52.03,558.0557583689,1072565363.0000001,4.61215
600379,宝光股份,13.03,43.025263789200004,330201564.0,3.78928
600380,健康元,10.52,192.4584962072,1829453385.9999998,1.55918
600382,广东明珠,6.32,43.8865912248,694408088.9999999,1.65677
600383,金地集团,2.24,101.1266720128,4514583572.0,1.82091
600388,龙净环保,16.9,214.63782351700002,1270046293.0000002,1.62775
600389,江山股份,17.65,76.009725,430650000.00000006,3.34452
600390,五矿资本,4.94,222.2044336746,4498065459.0,1.92732
600391,航发科技,28.19,93.0634685573,330129366.99999994,3.45512
600392,盛和资源,23.86,418.224419602,1752826570.0000002,5.49493
600395,盘江股份,4.73,101.5353574862,2146624893.9999995,1.52035
600396,华电辽能,12.33,181.58475053610002,1472706817.0,9.87481
600397,江钨装备,17.57,173.93595126740001,989959882.0000001,6.58806
600398,海澜之家,5.86,281.4423393456,4802770295.999999,0.56088
600399,抚顺特钢,3.91,77.10911,1972100000.0,2.16253
600400,红豆股份,2.87,65.7623721524,2291371852.0,1.84696
600403,大有能源,5.63,134.6027382326,2390812401.9999995,2.91288
600409,三友化工,5.83,120.35157281839999,2064349447.9999998,1.86984
600410,华胜天成,14.55,159.5399763765,1096494683.0,7.01027
600415,小商品城,10.43,571.9352272718,5483559226.0,1.93064
600416,湘电股份,8.57,126.4745503088,1475782383.9999998,1.21178
600418,江淮汽车,22.5,491.40220297499997,2184009791.0,2.35838
600420,国药现代,9.09,121.9125977028,1341172692.0,1.13729
600422,昆药集团,8.84,66.9166569188,756975757.0,3.56738
600425,青松建化,3.41,54.7203964087,1604703707.0,0.83178
600426,华鲁恒升,19.03,523.2448861739,2749579013.0,1.85719
600428,中远海特,10.57,258.46668612310003,2445285583.0,4.75622
600429,三元股份,4.33,64.8442365458,1497557426.0,0.87239
600433,冠豪高新,3.17,55.483851686099996,1750279233.0,3.07443
600435,北方导航,10.09,152.5968968741,1512357749.0,1.15378
600436,片仔癀,128.32,774.176643872,603317210.0,1.82167
600438,通威股份,10.8,486.21502152000005,4501990940.0,1.21906
600446,金证股份,10.15,95.5386491185,941267479.0,1.9621
600449,宁夏建材,12.13,58.0033603946,478181042.0,0.92312
600452,涪陵电力,9.13,140.2862530102,1536541654.0,1.52202
600456,宝钛股份,28.02,133.8732664278,477777538.99999994,1.68558
600458,时代新材,11.59,100.6624131645,868528154.9999999,3.53024
600459,贵研铂业,19.55,148.522573439,759706258.0,3.46773
600460,士兰微,38.57,641.8325106165,1664071845.0,5.79841
600461,洪城环境,9.44,121.22440305280001,1284156812.0000002,0.92462
600467,好当家,2.19,31.9957752576,1460994304.0,2.23192
600468,百利电气,5.03,54.7130866463,1087735320.9999998,1.31587
600469,风神股份,5.44,39.6821273824,729450870.9999999,0.76872
600475,华光环能,13.29,125.3095133841,942885729.0,0.90144
600477,杭萧钢构,2.37,55.907551933200004,2358968436.0,1.82795
600478,科力远,4.68,77.9473148688,1665540916.0000002,1.19834
600479,千金药业,10.04,42.0181145468,418507117.0,2.44356
600480,凌云股份,8.39,101.7862334138,1213185142.0,0.96429
600481,双良节能,4.13,85.2515132357,2064201289.0000002,2.01607
600482,中国动力,30.67,695.6711610656,2268246368.0,1.08854
600483,福能股份,10.95,304.4260536855,2780146609.0,0.65029
600486,扬农化工,50.83,205.4100980854,404111938.00000006,1.18857
600488,津药药业,6.98,76.213690264,1091886679.9999998,16.85513
600490,鹏欣资源,5.88,117.1661374968,1992621386.0,2.15433
600495,晋西车轴,3.78,45.669615490800005,1208190886.0,1.70665
600496,精工钢构,3.25,64.6790819675,1990125599.0,1.27627
600497,驰宏锌锗,9.44,475.8119175952,5040380483.0,3.96498
600498,烽火通信,47.56,604.7831644736,1271621456.0,6.02289
600499,科达制造,14.64,280.7741756424,1917856391.0,1.26548
600500,中化国际,6.0,215.29837818,3588306303.0,1.87488
600501,航天晨光,13.87,59.33921654,427824200.0000001,1.54306
600502,安徽建工,4.68,80.33378829840001,1716533938.0000002,1.96784
600503,华丽家族,2.09,33.487860999999995,1602290000.0,2.55773
600505,西昌电力,10.79,39.336833250000005,364567500.0,3.12266
600506,统一股份,13.84,34.5480465776,249624613.99999997,2.24254
600507,方大特钢,4.37,101.08631079300001,2313187890.0,2.12934
600508,上海能源,8.53,86.30698356,1011805200.0000001,0.99237
600509,天富能源,7.32,100.6058901924,1374397407.0,1.8986
600510,黑牡丹,6.31,65.1208063367,1032025457.0000001,1.22658
600511,国药股份,28.0,154.93699872000002,553346424.0,1.0985
600512,腾达建设,2.01,31.906843776300004,1587405163.0000002,1.52473
600513,联环药业,19.15,54.664875705,285456270.0,18.34097
600515,海南机场,2.79,256.0107489732,9176012508.0,1.56109
600516,方大炭素,5.1,205.32448876799998,4025970368.0,1.04546
600517,国网英大,4.85,277.34413358399996,5718435744.0,0.54409
600518,康美药业,1.37,189.3662249756,13822352188.0,3.14975
600520,三佳科技,30.5,48.32115,158430000.0,6.94591
600521,华海药业,16.89,252.8858959044,1497252196.0,5.6397
600523,贵航股份,11.55,46.66715361,404044620.0,1.02722
600526,菲达环保,4.39,38.325013446,873007140.0,0.96352
600527,江南高纤,2.13,36.8865072126,1731760902.0000002,3.20663
600528,中铁工业,7.05,156.61938695400002,2221551588.0000005,0.57853
600529,山东药玻,18.87,125.22398312309998,663614112.9999999,1.92265
600530,交大昂立,5.32,41.225744,774920000.0,1.43196
600531,豫光金铅,12.06,145.8370813788,1209262698.0,4.66361
600535,天士力,15.29,228.4249557645,1493950005.0000002,2.22891
600536,中国软件,31.48,265.582875746,843655894.9999999,3.87893
600539,狮头股份,16.42,37.766,229999999.99999997,3.86217
600545,卓郎智能,4.84,86.53495154480001,1787912222.0,4.33732
600546,山煤国际,12.62,250.185964868,1982456140.0,1.32172
600548,深高速,8.52,146.06909375159998,1714425982.9999998,0.19548
600550,保变电气,10.3,189.67743344000002,1841528479.9999998,1.26939
600551,时代出版,6.83,46.3111728237,678055239.0,0.68732
600552,凯盛科技,18.88,178.34178158720002,944606894.0000001,6.87145
