date,open,close,high,low,vol
2023-11-08,3610.64,3611.07,3627.05,3591.82,110594230.0
2023-11-09,3603.11,3612.83,3624.41,3601.37,111872057.0
2023-11-10,3596.07,3586.49,3599.45,3576.1,102107034.0
2023-11-13,3593.91,3579.41,3599.39,3562.77,96707649.0
2023-11-14,3581.1,3582.06,3600.15,3568.88,100884158.0
2023-11-15,3616.88,3607.25,3620.6,3596.92,104929218.0
2023-11-16,3600.98,3572.36,3605.29,3572.36,87464780.0
2023-11-17,3561.31,3568.07,3573.68,3547.03,87319207.0
2023-11-20,3569.73,3576.32,3586.97,3545.1,91080445.0
2023-11-21,3587.88,3581.07,3615.06,3575.68,108594314.0
2023-11-22,3569.44,3544.42,3574.38,3544.42,84784381.0
2023-11-23,3541.44,3561.52,3562.07,3529.94,84800167.0
2023-11-24,3560.65,3538.01,3560.65,3534.0,85018403.0
2023-11-27,3534.44,3511.94,3534.44,3492.86,99102314.0
2023-11-28,3510.66,3518.52,3521.05,3501.11,89335789.0
2023-11-29,3518.88,3488.31,3519.2,3482.24,98841412.0
2023-11-30,3485.52,3496.2,3505.13,3481.45,101350820.0
2023-12-01,3494.22,3482.88,3494.22,3452.17,108530941.0
2023-12-04,3481.04,3460.14,3488.13,3459.61,97156826.0
2023-12-05,3450.09,3394.26,3450.09,3393.81,100472007.0
2023-12-06,3387.88,3399.6,3420.28,3382.95,105805519.0
2023-12-07,3394.31,3391.28,3404.41,3369.77,97713248.0
2023-12-08,3391.86,3399.46,3409.38,3383.45,129522054.0
2023-12-11,3378.05,3419.45,3426.61,3346.89,139626249.0
2023-12-12,3410.0,3426.8,3427.55,3406.1,105590013.0
2023-12-13,3418.64,3369.61,3418.64,3369.61,95285367.0
2023-12-14,3387.38,3351.96,3399.14,3350.76,83655135.0
2023-12-15,3365.94,3341.55,3388.5,3339.52,97787783.0
2023-12-18,3329.19,3329.37,3352.35,3314.91,90526826.0
2023-12-19,3325.66,3334.04,3345.78,3313.19,83808118.0
2023-12-20,3334.33,3297.5,3338.54,3297.37,92412868.0
2023-12-21,3285.6,3330.87,3339.36,3283.99,102546198.0
2023-12-22,3329.47,3337.23,3359.06,3315.9,105220133.0
2023-12-25,3330.33,3347.45,3348.88,3330.33,74542693.0
2023-12-26,3345.4,3324.79,3345.42,3315.94,74732935.0
2023-12-27,3326.93,3336.36,3341.27,3309.67,94403928.0
2023-12-28,3335.56,3414.54,3423.4,3331.21,148064851.0
2023-12-29,3411.11,3431.11,3432.54,3409.58,114928932.0
2024-01-02,3426.27,3386.35,3426.27,3386.35,116180726.0
2024-01-03,3379.75,3378.3,3392.85,3362.66,105613851.0
2024-01-04,3375.02,3347.05,3375.02,3323.86,106721013.0
2024-01-05,3341.31,3329.11,3372.54,3313.55,126400574.0
2024-01-08,3322.61,3286.06,3333.52,3283.34,117429485.0
2024-01-09,3286.71,3292.5,3304.6,3273.84,109330465.0
2024-01-10,3281.67,3277.13,3312.92,3268.25,94199366.0
2024-01-11,3275.31,3295.67,3311.11,3266.79,108789735.0
2024-01-12,3284.36,3284.17,3310.47,3279.7,96853555.0
2024-01-15,3270.1,3280.92,3306.92,3261.27,88851530.0
2024-01-16,3272.57,3300.88,3300.88,3260.44,113276665.0
2024-01-17,3291.14,3229.08,3291.14,3229.08,108769728.0
2024-01-18,3214.28,3274.73,3279.25,3171.63,174909168.0
2024-01-19,3261.24,3269.78,3286.94,3251.81,118501408.0
2024-01-22,3262.47,3218.9,3281.42,3193.18,148705628.0
2024-01-23,3208.43,3231.93,3249.53,3188.13,122012000.0
2024-01-24,3245.96,3277.11,3281.49,3190.47,154371954.0
2024-01-25,3274.34,3342.92,3344.24,3269.79,196833614.0
2024-01-26,3326.65,3333.82,3351.97,3315.13,180664005.0
2024-01-29,3335.39,3303.96,3351.37,3303.96,184164795.0
2024-01-30,3283.9,3245.04,3300.2,3244.97,143649350.0
2024-01-31,3231.54,3215.35,3252.15,3201.93,153143469.0
2024-02-01,3202.26,3217.71,3251.76,3191.9,145516792.0
2024-02-02,3219.87,3179.63,3235.41,3108.35,173758089.0
2024-02-05,3164.25,3200.42,3233.85,3111.52,203042970.0
2024-02-06,3185.25,3311.69,3314.51,3182.82,202713099.0
2024-02-07,3314.03,3343.63,3343.63,3289.67,216647933.0
2024-02-08,3351.41,3364.93,3367.21,3336.98,189977578.0
2024-02-19,3393.19,3403.81,3403.81,3364.14,183319800.0
2024-02-20,3395.19,3410.85,3415.89,3380.1,140734581.0
2024-02-21,3390.36,3456.87,3500.13,3383.69,188879362.0
2024-02-22,3450.35,3486.67,3486.68,3448.41,141020784.0
2024-02-23,3491.34,3489.74,3507.56,3472.97,144821273.0
2024-02-26,3485.54,3453.36,3492.61,3445.39,151248331.0
2024-02-27,3440.05,3494.79,3494.79,3437.44,139528246.0
2024-02-28,3499.83,3450.26,3521.66,3450.26,189837548.0
2024-02-29,3437.9,3516.08,3516.08,3437.9,155944532.0
2024-03-01,3515.06,3537.8,3544.36,3503.46,162709570.0
2024-03-04,3538.37,3540.87,3548.69,3519.76,163244613.0
2024-03-05,3524.96,3565.51,3570.69,3519.08,166422389.0
2024-03-06,3556.53,3551.05,3577.39,3545.1,143076613.0
2024-03-07,3548.1,3529.72,3569.92,3522.9,148110510.0
2024-03-08,3529.55,3544.91,3548.51,3511.58,125792664.0
2024-03-11,3545.94,3589.26,3589.26,3542.28,148202825.0
2024-03-12,3592.58,3597.49,3605.7,3574.21,180685560.0
2024-03-13,3594.42,3572.36,3594.42,3563.37,144590590.0
2024-03-14,3571.79,3562.22,3597.46,3545.61,140962722.0
2024-03-15,3554.91,3569.99,3572.81,3533.68,138316044.0
2024-03-18,3577.06,3603.53,3604.05,3573.4,160379438.0
2024-03-19,3593.34,3577.63,3610.74,3577.19,145571786.0
2024-03-20,3568.72,3585.38,3589.55,3568.43,129528966.0
2024-03-21,3593.07,3581.09,3601.11,3575.03,130743377.0
2024-03-22,3571.27,3545.0,3575.72,3522.84,139227358.0
2024-03-25,3536.71,3525.76,3564.96,3525.76,137015724.0
2024-03-26,3526.68,3543.75,3547.65,3518.6,126209535.0
2024-03-27,3538.72,3502.79,3542.96,3502.79,128626763.0
2024-03-28,3498.48,3520.96,3551.21,3489.39,143334717.0
2024-03-29,3516.88,3537.48,3538.24,3516.88,128643290.0
2024-04-01,3551.58,3595.65,3600.92,3551.58,162776561.0
2024-04-02,3593.22,3580.68,3596.19,3568.75,141272972.0
2024-04-03,3578.68,3567.8,3582.43,3558.87,135592331.0
2024-04-08,3553.56,3536.41,3567.82,3535.77,155304283.0
2024-04-09,3533.38,3533.49,3543.71,3518.86,129670942.0
2024-04-10,3528.97,3504.71,3531.23,3490.05,128790274.0
2024-04-11,3485.03,3504.24,3520.59,3484.93,126534395.0
2024-04-12,3505.75,3475.84,3516.7,3470.06,128921116.0
2024-04-15,3473.5,3549.08,3552.41,3473.5,183941250.0
2024-04-16,3533.36,3511.11,3545.5,3503.62,176153065.0
2024-04-17,3509.13,3565.4,3565.94,3498.03,168466398.0
2024-04-18,3550.56,3569.8,3602.79,3547.6,178574105.0
2024-04-19,3550.61,3541.66,3560.95,3529.32,147281505.0
2024-04-22,3536.18,3530.9,3558.16,3528.02,150579042.0
2024-04-23,3525.67,3506.22,3533.76,3499.98,143113504.0
2024-04-24,3514.01,3521.62,3524.54,3495.65,121739851.0
2024-04-25,3510.64,3530.28,3543.97,3505.2,115187722.0
2024-04-26,3531.96,3584.27,3588.4,3531.96,197216133.0
2024-04-29,3584.54,3623.91,3645.82,3578.76,222721381.0
2024-04-30,3619.26,3604.39,3630.71,3604.39,191296899.0
2024-05-06,3654.05,3657.88,3668.26,3645.74,208018007.0
2024-05-07,3657.0,3659.01,3665.68,3648.38,164834286.0
2024-05-08,3650.75,3630.22,3650.94,3628.7,130035336.0
2024-05-09,3630.41,3664.56,3669.76,3630.41,146559017.0
2024-05-10,3669.09,3666.28,3674.61,3641.76,150720536.0
2024-05-13,3646.35,3664.69,3673.62,3634.6,157267455.0
2024-05-14,3668.23,3657.05,3675.78,3646.71,133406490.0
2024-05-15,3651.05,3626.06,3656.53,3624.0,123522764.0
2024-05-16,3636.6,3640.36,3657.48,3626.33,154630503.0
2024-05-17,3638.56,3677.97,3677.97,3627.45,164570417.0
2024-05-20,3682.06,3690.96,3703.03,3677.44,184609423.0
